model,temperature,subset,n_samples,n_proteins,mean_seq_recovery,mean_score_nll,mean_perplexity
ca_only,0.1,clean,168,21,0.4065708333333333,0.9636190476190469,2.659542522124044
ca_only,0.1,stress_test,72,9,0.4264263888888888,0.9288458333333333,2.538537640641901
ca_only,0.2,clean,168,21,0.3983077380952381,0.9989107142857142,2.7573084737214075
ca_only,0.2,stress_test,72,9,0.4195541666666667,0.957530555555556,2.6123397709305918
ca_only,0.3,clean,168,21,0.3970255952380954,1.0638571428571433,2.960282384378214
ca_only,0.3,stress_test,72,9,0.4025097222222221,1.0225013888888892,2.7902175178653312
fullbackbone,0.1,clean,168,21,0.4698619047619047,0.8679017857142858,2.4075319295662645
fullbackbone,0.1,stress_test,72,9,0.44928750000000023,0.8618902777777778,2.3718231989314824
fullbackbone,0.2,clean,168,21,0.4658446428571431,0.9030410714285709,2.4960910901624445
fullbackbone,0.2,stress_test,72,9,0.44362361111111126,0.8872444444444443,2.434508585423485
fullbackbone,0.3,clean,168,21,0.45806190476190495,0.9616553571428573,2.659015961273057
fullbackbone,0.3,stress_test,72,9,0.4411944444444443,0.9366333333333332,2.558967516044661
