model,noise,n_samples,mean_seq_recovery,mean_perplexity
ca_only,0.0,240,0.4051108333333334,2.630039434472988
ca_only,0.1,240,0.40084291666666666,2.8168001529470463
ca_only,0.2,240,0.3800537500000002,3.353434599742052
ca_only,0.3,240,0.35136166666666696,4.353406713614745
ca_only,0.5,240,0.25421458333333324,6.898668616158227
fullbackbone,0.0,240,0.46453999999999984,2.4060573318856577
fullbackbone,0.1,240,0.4555491666666666,2.5598533592600226
fullbackbone,0.2,240,0.43463000000000035,3.0370996390683187
fullbackbone,0.3,240,0.3945745833333337,4.018813842213312
fullbackbone,0.5,240,0.23864874999999994,7.746120584892693
