model,pdb_id,temperature,sample,score_nll,global_score_nll,seq_recovery,perplexity
fullbackbone,1AKI,0.1,1,0.7141,0.7141,0.5504,2.0423477418918177
fullbackbone,1AKI,0.1,2,0.6985,0.6985,0.5814,2.0107343427487554
fullbackbone,1AKI,0.1,3,0.7317,0.7317,0.5736,2.0786112448985143
fullbackbone,1AKI,0.1,4,0.6638,0.6638,0.5659,1.9421585321845567
fullbackbone,1AKI,0.1,5,0.7413,0.7413,0.5736,2.098662002496428
fullbackbone,1AKI,0.1,6,0.7234,0.7234,0.5891,2.061430171653389
fullbackbone,1AKI,0.1,7,0.6993,0.6993,0.5581,2.012343573829561
fullbackbone,1AKI,0.1,8,0.7243,0.7243,0.5659,2.0632862939376166
fullbackbone,1AKI,0.2,1,0.7743,0.7743,0.5736,2.1690732443654213
fullbackbone,1AKI,0.2,2,0.7414,0.7414,0.5349,2.0988718791903374
fullbackbone,1AKI,0.2,3,0.7262,0.7262,0.5349,2.067210264487659
fullbackbone,1AKI,0.2,4,0.7612,0.7612,0.5504,2.140843692136302
fullbackbone,1AKI,0.2,5,0.7183,0.7183,0.5581,2.050943641160259
fullbackbone,1AKI,0.2,6,0.7282,0.7282,0.5349,2.0713488221948224
fullbackbone,1AKI,0.2,7,0.7,0.7,0.5504,2.0137527074704766
fullbackbone,1AKI,0.2,8,0.7575,0.7575,0.5581,2.1329372064938164
fullbackbone,1AKI,0.3,1,0.7767,0.7767,0.5659,2.1742852720833867
fullbackbone,1AKI,0.3,2,0.783,0.783,0.5814,2.188026508743883
fullbackbone,1AKI,0.3,3,0.8132,0.8132,0.5659,2.2551128138091303
fullbackbone,1AKI,0.3,4,0.7669,0.7669,0.5271,2.1530813453597375
fullbackbone,1AKI,0.3,5,0.7459,0.7459,0.5891,2.1083380856369813
fullbackbone,1AKI,0.3,6,0.7954,0.7954,0.5349,2.215326950381699
fullbackbone,1AKI,0.3,7,0.7684,0.7684,0.5349,2.156313390805853
fullbackbone,1AKI,0.3,8,0.7719,0.7719,0.6279,2.1638737105153405
fullbackbone,1BPI,0.1,1,0.8659,0.8659,0.5345,2.3771445536205844
fullbackbone,1BPI,0.1,2,0.8539,0.8539,0.5,2.3487892908163
fullbackbone,1BPI,0.1,3,0.8995,0.8995,0.5172,2.458373617000525
fullbackbone,1BPI,0.1,4,0.8964,0.8964,0.4828,2.450764459076272
fullbackbone,1BPI,0.1,5,0.7916,0.7916,0.4828,2.206924682390159
fullbackbone,1BPI,0.1,6,0.8552,0.8552,0.4828,2.35184470248164
fullbackbone,1BPI,0.1,7,0.8186,0.8186,0.5,2.2673233618116893
