model,mask_frac,pdb_id,sample,score_nll,seq_recovery,perplexity
fullbackbone,0,1AKI,1,0.7633,0.5271,2.145344187756257
fullbackbone,0,1AKI,2,0.7479,0.5504,2.11255898129695
fullbackbone,0,1AKI,3,0.7016,0.5736,2.016977290781167
fullbackbone,0,1AKI,4,0.7095,0.5349,2.0329745172239653
fullbackbone,0,1AKI,5,0.7262,0.5581,2.067210264487659
fullbackbone,0,1AKI,6,0.7181,0.5581,2.050533493448165
fullbackbone,0,1AKI,7,0.7443,0.5814,2.104967441933995
fullbackbone,0,1AKI,8,0.7338,0.5194,2.0829809150606176
fullbackbone,0,1BPI,1,0.8461,0.5345,2.330539999109405
fullbackbone,0,1BPI,2,0.8161,0.4655,2.2616621328918662
fullbackbone,0,1BPI,3,0.92,0.4655,2.509290389936298
fullbackbone,0,1BPI,4,0.8075,0.4828,2.2422952355719685
fullbackbone,0,1BPI,5,0.8389,0.4828,2.313820373994947
fullbackbone,0,1BPI,6,0.9041,0.5345,2.4697081851588765
fullbackbone,0,1BPI,7,0.862,0.4655,2.367891744567051
fullbackbone,0,1BPI,8,0.9031,0.5,2.467239711416295
fullbackbone,0,1CRN,1,0.7595,0.5435,2.137207349626556
fullbackbone,0,1CRN,2,0.7587,0.587,2.1354982674708682
fullbackbone,0,1CRN,3,0.8137,0.587,2.256240652152124
fullbackbone,0,1CRN,4,0.7926,0.5217,2.209132710902803
fullbackbone,0,1CRN,5,0.7987,0.5217,2.2226496050528577
fullbackbone,0,1CRN,6,0.8284,0.5435,2.2896523641628015
fullbackbone,0,1CRN,7,0.7647,0.5217,2.148349773037901
fullbackbone,0,1CRN,8,0.7944,0.5652,2.2131127307256633
fullbackbone,0,1CSP,1,0.8643,0.6119,2.3733441634576713
fullbackbone,0,1CSP,2,0.937,0.5075,2.5523129824793847
fullbackbone,0,1CSP,3,0.8396,0.4328,2.315440615275032
fullbackbone,0,1CSP,4,0.9347,0.5522,2.54644940831483
fullbackbone,0,1CSP,5,0.8779,0.5522,2.4058421293483154
fullbackbone,0,1CSP,6,0.9636,0.597,2.6211155248474314
fullbackbone,0,1CSP,7,0.9299,0.5075,2.5342557393722163
fullbackbone,0,1CSP,8,0.8756,0.5522,2.4003150510274036
fullbackbone,0,1ENH,1,1.1256,0.4074,3.0820655335773193
fullbackbone,0,1ENH,2,0.9438,0.3704,2.569727854218905
fullbackbone,0,1ENH,3,1.0108,0.463,2.7477983746555927
fullbackbone,0,1ENH,4,1.1336,0.4259,3.1068209474727864
fullbackbone,0,1ENH,5,1.0096,0.3889,2.7445029942297077
fullbackbone,0,1ENH,6,0.9499,0.4259,2.5854511012780317
fullbackbone,0,1ENH,7,0.9505,0.4259,2.5870028374130873
fullbackbone,0,1ENH,8,1.12,0.4259,3.0648542032930024
fullbackbone,0,1FKB,1,0.7413,0.6542,2.098662002496428
fullbackbone,0,1FKB,2,0.7303,0.6449,2.0757032252443905
fullbackbone,0,1FKB,3,0.733,0.6075,2.08131519670475
fullbackbone,0,1FKB,4,0.7508,0.6449,2.118694294246657
fullbackbone,0,1FKB,5,0.7228,0.6542,2.060193684533627
fullbackbone,0,1FKB,6,0.7814,0.6262,2.184528465510728
fullbackbone,0,1FKB,7,0.6835,0.6822,1.9807984084117158
fullbackbone,0,1FKB,8,0.7794,0.5888,2.1801637747253886
fullbackbone,0,1HEL,1,0.7638,0.5814,2.146417128062859
fullbackbone,0,1HEL,2,0.7078,0.6047,2.0295213965289016
fullbackbone,0,1HEL,3,0.7406,0.5814,2.097193453146919
fullbackbone,0,1HEL,4,0.7376,0.5659,2.0909113007277207
fullbackbone,0,1HEL,5,0.7233,0.5736,2.0612240389430307
fullbackbone,0,1HEL,6,0.77,0.5504,2.159766253784915
fullbackbone,0,1HEL,7,0.7686,0.5349,2.156744696613157
fullbackbone,0,1HEL,8,0.7159,0.5814,2.0460272784166205
fullbackbone,0,1IGD,1,0.8063,0.5738,2.2396060950962644
fullbackbone,0,1IGD,2,0.8596,0.541,2.3622156184559637
fullbackbone,0,1IGD,3,0.8788,0.5246,2.408008361923167
fullbackbone,0,1IGD,4,0.8393,0.541,2.3147460872748584
fullbackbone,0,1IGD,5,0.8838,0.5574,2.420078554066919
fullbackbone,0,1IGD,6,0.8056,0.541,2.2380389194051817
fullbackbone,0,1IGD,7,0.8452,0.5246,2.328443456695809
fullbackbone,0,1IGD,8,0.8148,0.5574,2.2587238823957327
fullbackbone,0,1LZ1,1,0.7548,0.5846,2.127186043600021
