model,noise,pdb_id,sample,score_nll,seq_recovery,perplexity
fullbackbone,0.0,1AKI,1,0.7584,0.5814,2.1348577140784397
fullbackbone,0.0,1AKI,2,0.7535,0.5736,2.124422498436896
fullbackbone,0.0,1AKI,3,0.7257,0.5659,2.066176917713637
fullbackbone,0.0,1AKI,4,0.6908,0.5349,1.9953111438288118
fullbackbone,0.0,1AKI,5,0.6957,0.5659,2.0051121613162226
fullbackbone,0.0,1AKI,6,0.7254,0.5349,2.065557157606987
fullbackbone,0.0,1AKI,7,0.6888,0.5969,1.9913245095043566
fullbackbone,0.0,1AKI,8,0.7557,0.5426,2.12910137280812
fullbackbone,0.0,1BPI,1,0.9361,0.5172,2.550016934171875
fullbackbone,0.0,1BPI,2,0.872,0.5,2.391689452237172
fullbackbone,0.0,1BPI,3,0.8072,0.5517,2.2416226478944927
fullbackbone,0.0,1BPI,4,0.8404,0.4828,2.317293708905873
fullbackbone,0.0,1BPI,5,0.8818,0.5172,2.4152432338907346
fullbackbone,0.0,1BPI,6,0.9018,0.5345,2.464034383705883
fullbackbone,0.0,1BPI,7,0.8405,0.4828,2.317525449863618
fullbackbone,0.0,1BPI,8,0.8711,0.4828,2.389537900073862
fullbackbone,0.0,1CRN,1,0.8576,0.5217,2.357495908502242
fullbackbone,0.0,1CRN,2,0.8433,0.5217,2.3240236143079915
fullbackbone,0.0,1CRN,3,0.7793,0.5652,2.1799457692483717
fullbackbone,0.0,1CRN,4,0.7393,0.5652,2.0944688730186227
fullbackbone,0.0,1CRN,5,0.8114,0.5435,2.2510572618360487
fullbackbone,0.0,1CRN,6,0.8083,0.5435,2.2440897894862823
fullbackbone,0.0,1CRN,7,0.8252,0.5217,2.282337187123028
fullbackbone,0.0,1CRN,8,0.852,0.5435,2.344330828044636
fullbackbone,0.0,1CSP,1,0.8998,0.5224,2.459111239723501
fullbackbone,0.0,1CSP,2,0.9002,0.5522,2.460095080974523
fullbackbone,0.0,1CSP,3,0.8812,0.5224,2.4137945226072466
fullbackbone,0.0,1CSP,4,0.9263,0.4925,2.525148820999018
fullbackbone,0.0,1CSP,5,0.8523,0.4627,2.345034232798487
fullbackbone,0.0,1CSP,6,0.9785,0.4627,2.6604625535816004
fullbackbone,0.0,1CSP,7,0.9229,0.5224,2.516577893840449
fullbackbone,0.0,1CSP,8,0.9234,0.5075,2.5178364974120413
fullbackbone,0.0,1ENH,1,0.9333,0.4074,2.5428868734994405
fullbackbone,0.0,1ENH,2,0.9807,0.3704,2.666322014242892
fullbackbone,0.0,1ENH,3,1.069,0.4074,2.9124655776809942
fullbackbone,0.0,1ENH,4,1.0511,0.4259,2.8607962638060562
fullbackbone,0.0,1ENH,5,0.9904,0.4259,2.692311181465669
fullbackbone,0.0,1ENH,6,0.9565,0.4074,2.602571513760607
fullbackbone,0.0,1ENH,7,1.0245,0.4074,2.785702261164443
fullbackbone,0.0,1ENH,8,1.0892,0.3704,2.9718956048189638
fullbackbone,0.0,1FKB,1,0.7414,0.6636,2.0988718791903374
fullbackbone,0.0,1FKB,2,0.7554,0.6168,2.1284627381962586
fullbackbone,0.0,1FKB,3,0.7188,0.6449,2.0519693693915273
fullbackbone,0.0,1FKB,4,0.7577,0.6636,2.1333638365967036
fullbackbone,0.0,1FKB,5,0.7534,0.6542,2.1242100668088106
fullbackbone,0.0,1FKB,6,0.7494,0.6916,2.1157301975865095
fullbackbone,0.0,1FKB,7,0.7474,0.6822,2.111502965832168
fullbackbone,0.0,1FKB,8,0.7026,0.6542,2.0189952768968404
fullbackbone,0.0,1HEL,1,0.7466,0.5659,2.109814438960306
fullbackbone,0.0,1HEL,2,0.7556,0.5736,2.128888473315991
fullbackbone,0.0,1HEL,3,0.745,0.5814,2.1064414349807272
fullbackbone,0.0,1HEL,4,0.7201,0.6124,2.0546386642374603
fullbackbone,0.0,1HEL,5,0.742,0.6202,2.100131580190361
fullbackbone,0.0,1HEL,6,0.7588,0.5736,2.1357118279754626
fullbackbone,0.0,1HEL,7,0.7007,0.5814,2.0151628278502587
fullbackbone,0.0,1HEL,8,0.7361,0.5891,2.0877772848761453
fullbackbone,0.0,1IGD,1,0.7838,0.5574,2.1897776303061094
fullbackbone,0.0,1IGD,2,0.7643,0.5574,2.147490604973754
fullbackbone,0.0,1IGD,3,0.8722,0.5246,2.3921678379645974
fullbackbone,0.0,1IGD,4,0.854,0.5082,2.3490241814897197
fullbackbone,0.0,1IGD,5,0.8352,0.5738,2.3052750571960243
fullbackbone,0.0,1IGD,6,0.8486,0.5246,2.3363736381175855
fullbackbone,0.0,1IGD,7,0.8606,0.5082,2.36457901557603
fullbackbone,0.0,1IGD,8,0.774,0.541,2.168422619990648
fullbackbone,0.0,1LZ1,1,0.7691,0.5308,2.157823338599489
fullbackbone,0.0,1LZ1,2,0.7599,0.5538,2.138062403565794
fullbackbone,0.0,1LZ1,3,0.7992,0.5538,2.223761207732896
fullbackbone,0.0,1LZ1,4,0.7873,0.5615,2.1974552800616536
fullbackbone,0.0,1LZ1,5,0.7333,0.5692,2.0819396849323115
fullbackbone,0.0,1LZ1,6,0.7659,0.5769,2.1509293401962934
fullbackbone,0.0,1LZ1,7,0.7342,0.5846,2.0838142740873358
fullbackbone,0.0,1LZ1,8,0.755,0.5615,2.127611523355298
fullbackbone,0.0,1MBN,1,1.0128,0.3922,2.753299470667217
fullbackbone,0.0,1MBN,2,0.9803,0.3987,2.6652556987145175
fullbackbone,0.0,1MBN,3,0.989,0.3922,2.688544583045722
fullbackbone,0.0,1MBN,4,0.9658,0.4314,2.626888326755832
fullbackbone,0.0,1MBN,5,0.9934,0.3399,2.700400242534875
fullbackbone,0.0,1MBN,6,0.9806,0.3922,2.6660553953726334
fullbackbone,0.0,1MBN,7,0.9705,0.3922,2.639263761381851
fullbackbone,0.0,1MBN,8,0.98,0.4314,2.664456241929417
fullbackbone,0.0,1PIN,1,0.8595,0.4837,2.3619794087048027
fullbackbone,0.0,1PIN,2,0.813,0.4837,2.254661836345618
fullbackbone,0.0,1PIN,3,0.8394,0.4641,2.3149775734577025
fullbackbone,0.0,1PIN,4,0.8622,0.5229,2.3683653702769565
fullbackbone,0.0,1PIN,5,0.83,0.4837,2.2933187402641826
fullbackbone,0.0,1PIN,6,0.8632,0.4837,2.370734920224745
fullbackbone,0.0,1PIN,7,0.8412,0.5359,2.3191482856047663
fullbackbone,0.0,1PIN,8,0.8629,0.5229,2.3700238064210812
fullbackbone,0.0,1R69,1,0.7775,0.5079,2.176025396257917
fullbackbone,0.0,1R69,2,0.7903,0.5079,2.204057544346569
fullbackbone,0.0,1R69,3,0.8341,0.5397,2.3027406488132716
fullbackbone,0.0,1R69,4,0.8336,0.5238,2.3015895662834787
fullbackbone,0.0,1R69,5,0.8417,0.5238,2.320308149689426
fullbackbone,0.0,1R69,6,0.782,0.4444,2.185839575883813
fullbackbone,0.0,1R69,7,0.7747,0.5079,2.1699410472121663
fullbackbone,0.0,1R69,8,0.8315,0.4921,2.2967612996486375
fullbackbone,0.0,1RIS,1,0.9926,0.3711,2.6982407862385367
fullbackbone,0.0,1RIS,2,0.9563,0.299,2.6020510515058155
fullbackbone,0.0,1RIS,3,0.9835,0.3711,2.673798177627084
fullbackbone,0.0,1RIS,4,0.9377,0.3505,2.5541002270297337
fullbackbone,0.0,1RIS,5,0.9542,0.3402,2.596592477806064
fullbackbone,0.0,1RIS,6,0.9401,0.3505,2.5602374292714383
fullbackbone,0.0,1RIS,7,0.9433,0.3299,2.5684433114542475
fullbackbone,0.0,1RIS,8,0.9017,0.299,2.463787992587273
fullbackbone,0.0,1SHG,1,0.8077,0.4912,2.2427437394679774
fullbackbone,0.0,1SHG,2,0.7573,0.4737,2.132510661708418
fullbackbone,0.0,1SHG,3,0.845,0.5789,2.3279778145702346
fullbackbone,0.0,1SHG,4,0.7708,0.4561,2.161494758097481
fullbackbone,0.0,1SHG,5,0.794,0.5439,2.2122276626587873
fullbackbone,0.0,1SHG,6,0.8253,0.4737,2.282565432253806
fullbackbone,0.0,1SHG,7,0.7695,0.4561,2.1586866405838148
fullbackbone,0.0,1SHG,8,0.7905,0.5439,2.204498399939528
fullbackbone,0.0,1STN,1,0.8339,0.4191,2.302280146735252
fullbackbone,0.0,1STN,2,0.7711,0.4706,2.162143303801902
fullbackbone,0.0,1STN,3,0.7836,0.4485,2.1893397185726813
fullbackbone,0.0,1STN,4,0.8336,0.4926,2.3015895662834787
fullbackbone,0.0,1STN,5,0.818,0.4853,2.2659633758311957
fullbackbone,0.0,1STN,6,0.8168,0.5147,2.2632458506214275
fullbackbone,0.0,1STN,7,0.8354,0.5221,2.3057361583160385
fullbackbone,0.0,1STN,8,0.8145,0.5,2.258046366863425
fullbackbone,0.0,1TIM,1,0.9638,0.2935,2.6216398003782064
fullbackbone,0.0,1TIM,2,0.9767,0.2773,2.655678028349684
fullbackbone,0.0,1TIM,3,0.9717,0.2935,2.6424327789257536
fullbackbone,0.0,1TIM,4,0.9757,0.2834,2.653023677717846
fullbackbone,0.0,1TIM,5,0.968,0.2874,2.6326738428088614
fullbackbone,0.0,1TIM,6,0.9845,0.2834,2.676473313149544
fullbackbone,0.0,1TIM,7,0.9664,0.3016,2.6284649326863665
fullbackbone,0.0,1TIM,8,0.9758,0.2955,2.6532889933511785
fullbackbone,0.0,1TUP,1,0.8685,0.3829,2.3833331711765666
fullbackbone,0.0,1TUP,2,0.882,0.3692,2.415726330845598
fullbackbone,0.0,1TUP,3,0.8675,0.3949,2.380951029274853
fullbackbone,0.0,1TUP,4,0.8757,0.3641,2.400555094534482
fullbackbone,0.0,1TUP,5,0.8901,0.3761,2.4353731764310576
fullbackbone,0.0,1TUP,6,0.8581,0.3897,2.358674951192602
fullbackbone,0.0,1TUP,7,0.8599,0.3624,2.362924389451834
fullbackbone,0.0,1TUP,8,0.8972,0.3897,2.452725855097334
fullbackbone,0.0,1UBI,1,0.816,0.5526,2.2614359779865105
fullbackbone,0.0,1UBI,2,0.8342,0.5921,2.30297093439224
fullbackbone,0.0,1UBI,3,0.8259,0.5526,2.2839353824571207
fullbackbone,0.0,1UBI,4,0.8153,0.5658,2.259853526724479
fullbackbone,0.0,1UBI,5,0.813,0.5395,2.254661836345618
fullbackbone,0.0,1UBI,6,0.8259,0.5921,2.2839353824571207
fullbackbone,0.0,1UBI,7,0.7899,0.5789,2.203176097629926
fullbackbone,0.0,1UBI,8,0.8059,0.5132,2.2387104318028266
fullbackbone,0.0,1UBQ,1,0.7763,0.5395,2.173415731894185
fullbackbone,0.0,1UBQ,2,0.791,0.5526,2.2056009247477304
fullbackbone,0.0,1UBQ,3,0.7889,0.5658,2.2009740227532406
fullbackbone,0.0,1UBQ,4,0.7735,0.5395,2.16733867968831
fullbackbone,0.0,1UBQ,5,0.7848,0.5395,2.191968503190285
fullbackbone,0.0,1UBQ,6,0.8025,0.5,2.231111741428404
fullbackbone,0.0,1UBQ,7,0.8072,0.5921,2.2416226478944927
fullbackbone,0.0,1UBQ,8,0.8091,0.5,2.245885779618138
fullbackbone,0.0,1VII,1,1.0374,0.25,2.8218706045854187
fullbackbone,0.0,1VII,2,1.0341,0.1944,2.812573779788069
fullbackbone,0.0,1VII,3,1.0728,0.25,2.9235540015384447
fullbackbone,0.0,1VII,4,1.0722,0.2222,2.92180039527201
fullbackbone,0.0,1VII,5,1.1448,0.1944,3.1418129314124363
fullbackbone,0.0,1VII,6,0.9907,0.25,2.6931189959862283
fullbackbone,0.0,1VII,7,1.0385,0.1667,2.8249763701083355
fullbackbone,0.0,1VII,8,1.0544,0.25,2.8702524856611573
fullbackbone,0.0,2ACY,1,0.8187,0.449,2.2675501054848652
fullbackbone,0.0,2ACY,2,0.8614,0.4694,2.3664714356555936
fullbackbone,0.0,2ACY,3,0.8613,0.398,2.3662348003439906
fullbackbone,0.0,2ACY,4,0.8103,0.4898,2.2485824602384503
fullbackbone,0.0,2ACY,5,0.8376,0.4796,2.310814361840001
fullbackbone,0.0,2ACY,6,0.8407,0.4592,2.3179890013071898
fullbackbone,0.0,2ACY,7,0.8344,0.4388,2.3034315746416083
fullbackbone,0.0,2ACY,8,0.8829,0.3673,2.4179014632060998
