model,pdb_id,length,num_sequences,runtime_sec,seqs_per_sec
fullbackbone,1MBN,153,24,8.8635,2.7077339651379253
fullbackbone,1TUP,627,24,35.6578,0.6730645188430021
fullbackbone,1HEL,129,24,7.7759,3.0864594452089147
fullbackbone,4HHB,574,24,33.8997,0.707970866998823
fullbackbone,1CRN,46,24,2.915,8.23327615780446
fullbackbone,1IGD,61,24,3.6364,6.599934000659993
fullbackbone,1PIN,158,24,9.0273,2.658602239872387
fullbackbone,1VII,36,24,2.0896,11.485451761102604
fullbackbone,2ACY,98,24,5.9857,4.009556108725797
fullbackbone,2PTL,78,24,4.7979,5.002188457450134
fullbackbone,1UBI,76,24,4.7203,5.084422600258458
fullbackbone,1AKI,129,24,7.814,3.071410289224469
fullbackbone,1TIM,496,24,31.1691,0.7699933588072803
fullbackbone,1UBQ,76,24,5.2768,4.548211036992116
fullbackbone,3PGK,415,24,28.6173,0.8386535417387384
fullbackbone,3CHY,128,24,8.0894,2.9668455015205084
fullbackbone,1RIS,97,24,7.1268,3.367570298029971
fullbackbone,1STN,136,24,8.8975,2.6973869064343914
fullbackbone,1LZ1,130,24,8.2791,2.8988658187484146
fullbackbone,2PCY,99,24,6.5091,3.687145688344011
fullbackbone,2GB1,56,24,3.7018,6.483332432870496
fullbackbone,1CSP,67,24,4.5312,5.296610169491525
fullbackbone,1FKB,107,24,7.214,3.3268644302744663
fullbackbone,2LZM,164,24,10.4653,2.29329307329938
fullbackbone,1R69,63,24,4.2255,5.679801206957756
fullbackbone,2CRO,65,24,4.7185,5.086362191374378
fullbackbone,1SHG,57,24,3.752,6.396588486140725
fullbackbone,2CI2,65,24,4.4436,5.401026194977046
fullbackbone,1BPI,58,24,3.8484,6.2363579669473035
fullbackbone,1ENH,54,24,3.8527,6.229397565343785
ca_only,1MBN,153,24,8.7735,2.7355103436484867
ca_only,1TUP,627,24,33.1925,0.7230549069819989
ca_only,1HEL,129,24,7.4798,3.2086419422979224
ca_only,4HHB,574,24,30.5155,0.7864855565204568
ca_only,1CRN,46,24,2.6134,9.183439197979643
ca_only,1IGD,61,24,3.4412,6.974311286760432
ca_only,1PIN,158,24,8.7621,2.739069401170952
ca_only,1VII,36,24,1.8962,12.656892732834088
ca_only,2ACY,98,24,6.099,3.9350713231677323
ca_only,2PTL,78,24,4.9721,4.826934293356931
ca_only,1UBI,76,24,4.8748,4.923278903749898
ca_only,1AKI,129,24,7.8495,3.057519587234856
ca_only,1TIM,496,24,29.6593,0.8091896976664992
ca_only,1UBQ,76,24,4.7049,5.101064847286871
ca_only,3PGK,415,24,24.5641,0.9770355925924418
ca_only,3CHY,128,24,7.6527,3.1361480261868357
ca_only,1RIS,97,24,5.9429,4.038432415150853
ca_only,1STN,136,24,8.411,2.853406253715373
ca_only,1LZ1,130,24,7.9205,3.030111735370242
ca_only,2PCY,99,24,6.0702,3.9537412276366513
ca_only,2GB1,56,24,3.4904,6.8760027504011
ca_only,1CSP,67,24,4.3511,5.515846567534647
ca_only,1FKB,107,24,6.698,3.5831591519856674
ca_only,2LZM,164,24,9.8719,2.431142941075173
ca_only,1R69,63,24,3.8984,6.15637184485943
ca_only,2CRO,65,24,4.0528,5.921831819976312
ca_only,1SHG,57,24,3.4898,6.877184938964984
ca_only,2CI2,65,24,4.2406,5.659576475027119
ca_only,1BPI,58,24,3.694,6.497022198159177
ca_only,1ENH,54,24,3.3891,7.081526068867841
